type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url,description
Movie,Ice Age: A Mammoth Christmas,karen disher,"raymond albert romano,john leguizamo,denis leary,queen latifah",United States,2011,TV-G,"animation,comedy,family",hotstar,6.4,13994926067883488902,https://m.media-amazon.com/images/M/MV5BYTMzMjZhNjAtZDBmMS00MzA0LTljNjUtZGNlMGNiYTc5ODg4XkEyXkFqcGdeQXVyNTE0MDY4Mjk@._V1_SX300.jpg,Sid the Sloth is on Santa's naughty list.
Movie,Becoming Cousteau,liz garbus,"jacques yves cousteau,vincent cassel",United States,2021,PG-13,"biographical,documentary",hotstar,7.1,3542544957314151229,https://m.media-amazon.com/images/M/MV5BMjAwZWM1YmItNDk5Mi00YTQ4LWJjMzEtZGVlNDQ0MWU0MGE5XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
TV Show,Secrets of the Zoo: Tampa,unknown,"dr ray ball,dr lauren smith,chris massaro,tiffany burns,mike burns,melinda mendolusky",United States,2019,TV-PG,"animals  nature,docuseries,family",hotstar,1.0,275354621133803861,https://m.media-amazon.com/images/M/MV5BMTJkNTZiNDItMGY2Mi00NTUxLTgxY2MtZTRjNmMwZTU3YTM0XkEyXkFqcGdeQXVyMjcwMzIzNQ@@._V1_SX300.jpg,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
Movie,A Muppets Christmas: Letters To Santa,kirk r thatcher,"steve whitmire,dave goelz,bill barretta,eric jacobson",United States,2008,G,"comedy,family,music",hotstar,6.3,13083543942306110357,https://m.media-amazon.com/images/M/MV5BNWZhYmJkYmYtZTk4Ny00YTc0LTg2ODgtNzdhNzUzYjI2NTlkXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,Celebrate the holiday season with all your favorite Muppets.
Movie,The Pixar Story,leslie iwerks,"stacy keach,john lasseter,brad bird,john musker,ron clements,frank thomas",United States,2007,G,"documentary,family",netflix,7.7,636655017525547036,https://m.media-amazon.com/images/M/MV5BMTIwMDQxOTQyMF5BMl5BanBnXkFtZTcwNDI5MTU1MQ@@._V1_SX300.jpg,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
TV Show,"Dr. Oakley, Yukon Vet",unknown,"dr michelle oakley,zachary fine",United States,2013,TV-PG,"action adventure,animals  nature,docuseries",hotstar,8.5,16197542549281607206,https://m.media-amazon.com/images/M/MV5BMzk0Nzk4MDQtMDUwZC00ZjM2LWFkZDgtNWI5MWRiYzRiZDQwXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
Movie,Enchanted,kevin lima,"amy adams,patrick dempsey,james marsden,timothy spall,idina menzel,susan sarandon",United States,2007,PG,"comedy,family,fantasy",hotstar,7.1,12196718732183130223,https://m.media-amazon.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg,An animated princess winds up in the real world of modern-day Manhattan.
Movie,Feast,patrick osborne,"stephen apostolina,kirk baily,ben bledsoe,david cowgill,terri douglas,fuschia",United States,2014,G,"animation,comedy,drama",hotstar,6.2,11550264414607121889,https://m.media-amazon.com/images/M/MV5BMTI0MzI5MTY1OV5BMl5BanBnXkFtZTcwMzU4MjYzMQ@@._V1_SX300.jpg,One man's love life seen through the eyes of his dog.
Movie,Frozen Fever,"chris buck,jennifer lee","kristen bell,idina menzel,jonathan groff,josh gad,santino fontana,chris williams",United States,2015,G,"animation,family,fantasy",hotstar,6.8,12528444371913911168,https://m.media-amazon.com/images/M/MV5BMjY3YTk5MjUtODBjOC00NzAwLTgyYjYtMzFmMzAxOTZmOWRlXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,Elsa wants to give Anna the best birthday party ever.
Movie,Get a Horse!,lauren macmullan,"walt disney,marcellite garner,russi taylor,billy bletcher,will ryan,bob bergen",United States,2013,G,"action adventure,animation,comedy",hotstar,7.5,16995273069305299082,https://m.media-amazon.com/images/M/MV5BMTQxNDIzMDI3NF5BMl5BanBnXkFtZTcwODE4OTA3OQ@@._V1_SX300.jpg,Mickey and friends hitch a ride on a musical hay wagon.
Movie,Home Sweet Home Alone,dan mazer,"ellie kemper,rob delaney,archie yates,aisling bea,kenan thompson,tim simons",United States,2021,PG,"comedy,family",hotstar,1.0,28846036131638603,https://m.media-amazon.com/images/M/MV5BMDlkMzZiM2EtZDMxZC00ZWUwLTliMDMtMGMzMzE3NTEzMThiXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers."
