type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url
Movie,shiva,['ram gopal varma'],"nagarjuna akkineni,amala,rajendranath zutshi,raghuvaran,paresh rawal,brij gopal,jd chakravarthi,tanikella bharani",India,1990,TV-MA,"action adventure,drama,international",netflix,8.0,8068232179858232467,https://m.media-amazon.com/images/M/MV5BZjE5MmU2YWItNTVkNi00ZTQzLWE3YTctNTYxY2Q5ZDkxZjNhXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_SX300.jpg
Movie,good hair,['jeff stilson'],"chris rock,nia long,maya angelou,icet,eve,meagan good,al sharpton,krsone,ravensymoné",United States,2009,PG-13,documentaries,netflix,6.9,15125810902178246068,https://m.media-amazon.com/images/M/MV5BMTg0Mjk3OTgwNl5BMl5BanBnXkFtZTcwMTgwOTg3Mg@@._V1_SX300.jpg
TV Show,avatar the last airbender,['unknown'],"zach tyler,mae whitman,jack de sena,dee bradley baker,dante basco,jessie flower,mako iwamatsu",United States,2007,TV-Y7,"cult,kids,action adventure",netflix,9.3,15709109317304348592,https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg
Movie,nocturne,['zu quirke'],"sydney sweeney,madison iseman,jacques colimon,ivan shaw",United States,2020,16+,suspense,hotstar,5.7,11945575398201291081,https://m.media-amazon.com/images/M/MV5BNjU3NGRlOGUtMGYzMS00YzJkLWE2NzMtMTM0YmZmNjBiZTZkXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
Movie,bramptons own,['michael doneger'],"alex russell,rose mciver,jean smart,scott porter,kevin linehan,spencer grammer,carter hastings,riley voelkel,john getz",United States,2018,TV-MA,"drama,romance,sports",netflix,1.0,6239699553072653335,url
Movie,disney holiday magic quest,['unknown'],unknown,United States,2020,TV-G,movies,hotstar,6.2,3941227011896298465,https://m.media-amazon.com/images/M/MV5BZjM3M2QwMGUtZjlmOS00MDRjLWIxZTAtZmZiMGZmZGYwNTNmXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg
Movie,ek mini katha,['karthik rapolu'],"santosh shoban,kavya thapar,shraddha das,brahmaji,sudharshan,sapthagiri,posani krishna murali",India,2021,18+,"comedy,drama",hotstar,1.0,10452832411565107870,url
Movie,feminists what were they thinking,['johanna demetrakas'],unknown,United States,2018,TV-MA,"documentaries,lgbtq",netflix,7.1,10132045292772806572,https://m.media-amazon.com/images/M/MV5BODljMzYzOTQtZGQyYi00ZjhkLTk5NDktY2RlNTdjOTljYjgwXkEyXkFqcGdeQXVyNjcyMzE1MA@@._V1_SX300.jpg
Movie,the woman in the window,['joe wright'],"amy adams,gary oldman,anthony mackie,fred hechinger,wyatt russell,brian tyree henry,jennifer jason leigh,jeanine serralles,mariah bozeman,julianne moore",United States,2021,R,"drama,thriller",netflix,5.7,2409064054769807624,https://m.media-amazon.com/images/M/MV5BYmVlNWJkZWYtYmJkMy00YTZlLTgwODMtZjVmOGMzMmM1ZTk2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg
Movie,the incredibles,['brad bird'],"craig nelson,holly hunter,samuel jackson,jason lee,dominique louis,teddy newton",United States,2004,PG,"action adventure,animation,family",hotstar,8.0,18137685452348874396,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg
